[[0, 0], [0, 0], [0.0, 0.0], [0, 0]]
[[0.04850506957586289, 0.028848918273358663], [-0.014703350737172424, -0.057802126545343335], [0.024677365643734378, 0.009950125], [-0.009801618140609375, -0.019751246878125]]
[[0.04850506957586289, 0.028848918273358663], [-0.014703350737172424, -0.057802126545343335], [0.024677365643734378, 0.009900374375], [-0.009801618140609375, -0.019751246878125]]
[[0.05326254422798358, 0.02870467368199187], [-0.014703350737172424, -0.057802126545343335], [0.024677365643734378, 0.009900374375], [-0.009801618140609375, -0.019751246878125]]
[[0.05799623150684366, 0.03356115031358191], [-0.014703350737172424, -0.057802126545343335], [0.024677365643734378, 0.009900374375], [-0.009801618140609375, -0.019751246878125]]
[[0.05799623150684366, 0.03356115031358191], [-0.014703350737172424, -0.057802126545343335], [0.024677365643734378, 0.009900374375], [-0.009801618140609375, -0.024652490643734374]]
[[0.06270625034930945, 0.033393344562013996], [-0.014703350737172424, -0.057802126545343335], [0.024677365643734378, 0.009900374375], [-0.009801618140609375, -0.024652490643734374]]
[[0.06270625034930945, 0.033393344562013996], [-0.014703350737172424, -0.057802126545343335], [0.024677365643734378, 0.014850872503125001], [-0.009801618140609375, -0.024652490643734374]]
[[0.06270625034930945, 0.033393344562013996], [-0.014629833983486561, -0.06251311591261662], [0.024677365643734378, 0.014850872503125001], [-0.009801618140609375, -0.024652490643734374]]
[[0.06270625034930945, 0.033393344562013996], [-0.014629833983486561, -0.06251311591261662], [0.024677365643734378, 0.014850872503125001], [-0.009801618140609375, -0.0295292281905157]]
[[0.0673927190975629, 0.03322637783920392], [-0.014629833983486561, -0.06251311591261662], [0.024677365643734378, 0.014850872503125001], [-0.009801618140609375, -0.0295292281905157]]
[[0.07205575550207509, 0.0330602459500079], [-0.014629833983486561, -0.06251311591261662], [0.024677365643734378, 0.014850872503125001], [-0.009801618140609375, -0.0295292281905157]]
[[0.07205575550207509, 0.0330602459500079], [-0.014556684813569129, -0.06720055033305353], [0.024677365643734378, 0.014850872503125001], [-0.009801618140609375, -0.0295292281905157]]
[[0.07205575550207509, 0.0330602459500079], [-0.019483901389501283, -0.07186454758138826], [0.024677365643734378, 0.014850872503125001], [-0.009801618140609375, -0.0295292281905157]]
[[0.07205575550207509, 0.0330602459500079], [-0.019483901389501283, -0.07186454758138826], [0.024677365643734378, 0.014776618140609377], [-0.009801618140609375, -0.0295292281905157]]
[[0.07205575550207509, 0.0330602459500079], [-0.024386481882553778, -0.07650522484348132], [0.024677365643734378, 0.014776618140609377], [-0.009801618140609375, -0.0295292281905157]]
[[0.07669547672456471, 0.03289494472025786], [-0.024386481882553778, -0.07650522484348132], [0.024677365643734378, 0.014776618140609377], [-0.009801618140609375, -0.0295292281905157]]
[[0.07631199934094189, 0.032730469996656575], [-0.024386481882553778, -0.07650522484348132], [0.024677365643734378, 0.014776618140609377], [-0.009801618140609375, -0.0295292281905157]]
[[0.07631199934094189, 0.032730469996656575], [-0.024386481882553778, -0.07650522484348132], [0.024677365643734378, 0.014776618140609377], [-0.014752610049906328, -0.0295292281905157]]
[[0.07631199934094189, 0.032730469996656575], [-0.024386481882553778, -0.07650522484348132], [0.024677365643734378, 0.014776618140609377], [-0.014752610049906328, -0.034381582049563125]]
[[0.07631199934094189, 0.032730469996656575], [-0.024386481882553778, -0.07650522484348132], [0.024677365643734378, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.07593043934423718, 0.03256681764667329], [-0.024386481882553778, -0.07650522484348132], [0.024677365643734378, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.075550787147516, 0.032403983558439924], [-0.024386481882553778, -0.07650522484348132], [0.024677365643734378, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.075550787147516, 0.032403983558439924], [-0.02426454947314101, -0.08112269871926392], [0.024677365643734378, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.075550787147516, 0.032403983558439924], [-0.024143226725775305, -0.0857170852256676], [0.024677365643734378, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.08017303321177842, 0.03224196364064772], [-0.024143226725775305, -0.0857170852256676], [0.024677365643734378, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.08017303321177842, 0.03224196364064772], [-0.024143226725775305, -0.0857170852256676], [0.029553978815515705, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.08017303321177842, 0.03224196364064772], [-0.024143226725775305, -0.0857170852256676], [0.03440620892143813, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.08017303321177842, 0.03224196364064772], [-0.02402251059214643, -0.08528849979953926], [0.03440620892143813, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.08017303321177842, 0.03224196364064772], [-0.023902398039185698, -0.08986205730054156], [0.03440620892143813, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.08017303321177842, 0.03224196364064772], [-0.02378288604898977, -0.09441274701403884], [0.03440620892143813, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.08017303321177842, 0.03224196364064772], [-0.028663971618744823, -0.09394068327896865], [0.03440620892143813, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
[[0.07977216804571953, 0.032080753822444484], [-0.028663971618744823, -0.09394068327896865], [0.03440620892143813, 0.014776618140609377], [-0.014678846999656797, -0.034381582049563125]]
